1239853,CinemaSins,21:59,Everything Wrong With The Lego Movie
1168192,The Late Show with Stephen Colbert,10:14,John Oliver Doesn't Think He'll Get Deported
1327851,The Daily Show with Trevor Noah,6:52,Is Steve Bannon the Real President? - The Daily Show
6443219,Dude Perfect,8:53,Football World Record Edition | Dude Perfect
1630892,Screen Junkies,4:30,Honest Trailers - John Wick
571479,FBE,8:42,KIDS REACT TO SUPER BOWL COMMERCIALS 2017
18486643,Saturday Night Live,8:07,Sean Spicer Press Conference (Melissa McCarthy) - SNL
18760325,NFL,13:34,Lady Gaga's FULL Pepsi Zero Sugar Super Bowl LI Halftime Show | NFL
1528612,The Tonight Show Starring Jimmy Fallon,8:52,Jimmy Interviews Julian Edelman and Bill Belichick After Patriots' Comeback Super Bowl Win
193507,Associated Press,0:52,Clinton First Post-Inauguration Video Statement
2905883,Netflix US & Canada,2:17,Marvel's Iron Fist | Official Trailer [HD] | Netflix
506584,RocketJump,1:50,Dog Wick
1626245,Jimmy Kimmel Live,3:20,Super Bowl MVP Tom Brady Makes Surprise Appearance on Kimmel
1136410,20th Century Fox,2:37,Snatched | Official Trailer [HD] | 20th Century FOX
708418,Caught In Providence,1:30,Caught in Providence: Car Clock
5256266,Life Awesome,10:15,*IF YOU LAUGH
1990068,RecklessFromTheBlock,10:07,SAVAGE LEVEL 101%
601752,Funny Vines,15:04,Try Not To Laugh or Grin | David Lopez Funny Vines Compilation
5920219,Vines Video,26:03,Funny Animals Vines Vine compilation November 2016
1804292,CooL Vines,20:19,Funny Vines January 2017 (Part 3) TBT Vine compilation
1936798,Vine Age,16:42,Try Not to Laugh or Grin While Watching This Compilation Vine / December 2016 Pt.2- Vine Age✔
5168517,Funny Vines,22:23,David Lopez Funny Vines Compilation - Best Vines 2015
4751353,BoyFunnyGuys,8:41,I Bet You Cant Stop Laughing | New Funny Pranks Videos Vines
6390710,Dream Vine,30:42,New Zach King Magic Vines 2016 | Best Zach King Magic Tricks Ever
7353437,World Wide Vines,41:07,New Zach King Magic Vines 2016 | Best Zach King Magic Tricks Ever
76339141,All Of Vines,17:16,*Try Not To Laugh Challenge* Funny Kids Vines Compilation 2016 | Funniest Kids Videos
9184248,BEST VINES,15:41,TRY NOT TO LAUGH OR GRIN CHALLENGE (Impossible): Vine & Instagram Edition Part 6 | BEST VINES
3230643,CooL Vines,10:54,Try Not To Laugh Challenge - Funny Cat & Dog Vines compilation 2017
7460183,Co Viners,31:19,Ultimate Cole LaBrant Vine Compilation (w/Titles) Funny Cole LaBrant Vines of 2016 - Co Viners
47833692,Dream Vine,14:57,New Zach King Magic Vines Compilation 2016 With Titles
18760325,Popular on YouTube,13:34,Lady Gaga's FULL Pepsi Zero Sugar Super Bowl LI Halftime Show | NFL
1528612,NFL,8:52,Jimmy Interviews Julian Edelman and Bill Belichick After Patriots' Comeback Super Bowl Win
2905883,The Tonight Show Starring Jimmy Fallon,2:17,Marvel's Iron Fist | Official Trailer [HD] | Netflix
1394168,Netflix US & Canada,5:00,Casually Explained: Red Flags
339244,Casually Explained,9:37,The 50 Craziest Things Trump Has Done As President | The Resistance with Keith Olbermann | GQ
869601,GQ,12:49,Sam Harris: Winning the War of Ideas | Real Time with Bill Maher (HBO)
11590041,Real Time with Bill Maher,0:37,Stranger Things 2 | Super Bowl 2017 Ad | Netflix
3385076,Netflix US & Canada,0:30,T-Mobile | #BagofUnlimited with Martha Stewart and Snoop Dogg | :30s TV Commercial
2204952,T-Mobile,0:31,Bai 2017 Big Game Ad - Starring Justin Timberlake & Christopher Walken
3912499,Bai Antioxidant Infusions,1:01,Richard Vs Barack
246975,Richard Branson,0:31,VoteVets: Act Like One
749032,votevets,9:51,Bill O'Reilly interviews President Donald Trump before Super Bowl LI | FOX SPORTS
2601007,FOX Sports,7:51,Romantic Cliches in Real Life!
3833006,nigahiga,0:46,Turkish Airlines - Morgan Freeman Super Bowl Commercial (2017)
10146257,Turkish Airlines,5:45,84 Lumber Super Bowl Commercial - The Entire Journey
18486643,84 Lumber,8:07,Sean Spicer Press Conference (Melissa McCarthy) - SNL
8385034,Popular on YouTube,6:33,Oval Office Cold Open - SNL
7751298,Saturday Night Live,5:58,(quotes)NFL 2017(quotes) — A Bad Lip Reading of the NFL
506584,Saturday Night Live,1:50,Dog Wick
1401202,Bad Lip Reading,9:10,MY EVIL PIANO TEACHER
3385076,RocketJump,0:30,T-Mobile | #BagofUnlimited with Martha Stewart and Snoop Dogg | :30s TV Commercial
2204952,danisnotonfire,0:31,Bai 2017 Big Game Ad - Starring Justin Timberlake & Christopher Walken
3912499,T-Mobile,1:01,Richard Vs Barack
913085,Bai Antioxidant Infusions,0:31,It's A 10 Hair Care Super Bowl Commercial
2102913,Richard Branson,0:46,TurboTax 2017 Big Game Commercial (quotes)Humpty Hospital(quotes) (Official :45) TV ad - Humpty Dumpty Commercial
5091226,itsa10haircare,1:16,Tide | Super Bowl Commercial 2017 with Terry Bradshaw
951948,TurboTax,1:26,protein shake
1178548,Tide,5:26,SOCIAL MEDIA DIVORCE COURT
2741337,jacksfilms,4:52,Kristen Stewart Monologue - SNL
1277076,Smosh,3:42,CRAZY MEXICAN PUPPET | Hailey Baldwin & Awkward Puppets
1626245,Saturday Night Live,3:20,Super Bowl MVP Tom Brady Makes Surprise Appearance on Kimmel
1206916,Rudy Mancuso,4:55,Trump Says Voter Fraud. Stephen Says Bull.
2483798,Popular on YouTube,10:02,Trump's Second Week Is as Chaotic as His First: A Closer Look
2984135,Jimmy Kimmel Live,3:52,Trump Unveils Huge Wheel of Decisions
3516150,The Late Show with Stephen Colbert,2:02,Mean Tweets - NFL Edition #2
2106471,Late Night with Seth Meyers,11:30,Clueless Gamer Super Bowl Edition: (quotes)For Honor” - CONAN on TBS
7323075,The Tonight Show Starring Jimmy Fallon,4:38,Wheel of Musical Impressions with Alessia Cara
1385019,Jimmy Kimmel Live,2:05,Puppies Predict Super Bowl LI
6011159,Team Coco,9:57,Jon Stewart Reads Trump's Next Batch Of Executive Orders
869601,The Tonight Show Starring Jimmy Fallon,12:49,Sam Harris: Winning the War of Ideas | Real Time with Bill Maher (HBO)
1761780,The Tonight Show Starring Jimmy Fallon,11:41,Front Man Battle w/ Queen + Adam Lambert
3095017,The Late Show with Stephen Colbert,7:02,Mad Lib Theater with Dakota Johnson (Fifty Shades Darker Edition)
1075151,Real Time with Bill Maher,4:45,Beyoncé And Trump Celebrate Black History Month In Very Different Ways
1051840,The Late Late Show with James Corden,7:13,The Not-A-Muslim-Ban Muslim Ban | Full Frontal with Samantha Bee | TBS
847049,The Tonight Show Starring Jimmy Fallon,5:15,Kid Stand-Up with Keanu Reeves and Judd Apatow
7479902,The Late Show with Stephen Colbert,1:12,1 Hour Best of People are Stupid - Fail Compilation 2016
5168517,Full Frontal with Samantha Bee,22:23,David Lopez Funny Vines Compilation - Best Vines 2015
7792095,The Tonight Show Starring Jimmy Fallon,24:31,You Laugh You Lose Super Challenge
76339141,WSHH Vine Comp of the Week,17:16,*Try Not To Laugh Challenge* Funny Kids Vines Compilation 2016 | Funniest Kids Videos
9667400,Funny Vines,18:26,*HARDEST VERSION* Try Not to Laugh or Grin While Watching This - Funniest Vines of November 2016 #1
20183755,THEBrandonBrownsonJr,34:45,BatDad NEW Vines 2015 - Vine compilation - Best Viners
10764831,All Of Vines,10:11,TRY NOT TO LAUGH (CARTOON EDITION)
2086386,The Funniest Vines,19:29,Try not to laugh while Watching Eastside Ivo Funny Instagram Compilation 2016
1247580,Best Viners,13:44,Dean Martin 12/12/75 hilarious on The Tonight Show starring Johnny Carson 1975
2731507,VINESRB,8:01,Original Risitas
8447884,InstaCompis,4:29,Key & Peele - Black Republicans
761187,FredFlix,13:10,The Wisdoms of Al Bundy
2481066,Sutyor Gábor,1:12,1 Hour Best of People are Stupid - Ultimate Fail Compilation 2016
19117324,Comedy Central,5:49,Donald Trump Interviews Himself In the Mirror
6763280,wanderer168,2:56,10+ FUNNIEST Test Answers From Smartass Kids
10860333,World News,13:39,Greatest Trick Plays in Football History
2179761,The Tonight Show Starring Jimmy Fallon,16:09,Top 10 hardest football knockout hits
11773051,Smile,5:50,Top 20 Unexpected Goals In Football
894421,Jaydon,11:33,Greatest NFL Ejections
3469318,TheLookin4now,21:04,Patriots vs. Falcons | Super Bowl LI Game Highlights
33741943,Dan1s,3:49,Top 10 Smart Penalty Goals In Football
5346000,baseball maniac,1:01,Big Game Commercial with Cam Newton & Miranda Kerr | Buick
815972,NFL,15:30,Patriots or Falcons: Who's Better? | Move the Sticks | Super Bowl LI Preview | NFL
783351,Fazeli,3:03,Tom Brady Leads Game-Winning Overtime TD Drive! | Patriots vs. Falcons | Super Bowl LI Highlights
592831,Buick,4:22,Tom Brady Leads CLUTCH Game-Tying Drive! | Patriots vs. Falcons | Super Bowl LI Highlights
753444,NFL,0:31,Super Bowl Baby Legends | Who’s Next? | Football is Family
787619,NFL,1:25,Tom Brady TD Pass & Trick Play Cuts Falcons Lead! | Patriots vs. Falcons | Super Bowl LI Highlights
519070,NFL,1:14,James White Game-Winning OT Touchdown! | Patriots vs. Falcons | Super Bowl LI Highlights
520164,NFL,1:15,Robert Alford Pick 6 Off Tom Brady! | Patriots vs. Falcons | Super Bowl LI Highlights
4843853,NFL,3:19,JUSTICE LEAGUE - Trailer 2 (2017 Movie) (quotes)Fallen God(quotes) Teaser (FanMade)
15540357,NFL,5:20,THE BOSS BABY (quotes)Diapers(quotes) Trailer Tease (Animation
9601796,NFL,6:31,10 Secrets About The Disney Pixar Universe That Will Blow Your Mind
2077886,Movies - Topic,2:36,LIFE - Official Trailer #2 (HD)
33630508,Teaser PRO,16:43,SING : ALL the Movie CLIPS + TRAILERS Compilation ! (Animation Blockbuster
4602189,Fresh Movie Trailers,1:20,Pirates of the Caribbean: Dead Men Tell No Tales: Extended Look
19567086,Screen Rant,10:34,Trolls release clip compilation (2016)
12077050,Sony Pictures Entertainment,2:32,Beauty and the Beast – US Official Final Trailer
3155597,Fresh Movie Trailers,0:59,Guardians of the Galaxy Vol. 2 Extended Big Game Spot
1714974,Disney Movie Trailers,8:35,10 Improvised Movie Scenes That Made Actors React Out Of Nowhere
1143170,FilmIsNow Movie Bloopers & Extras,2:31,The LEGO Batman Movie - Gotham Cribs
3197097,Disney Movie Trailers,3:28,PIRATES OF THE CARIBBEAN 5 Trailer + Super Bowl Spot (2017) Dead Men Tell No Tales
4206990,Marvel Entertainment,0:31,Logan | (quotes)Grace(quotes) #SB51 Commercial | 20th Century Fox
18087332,Screen Rant,3:00,Badrinath Ki Dulhania - Official Trailer | Karan Johar | Varun Dhawan | Alia Bhatt
1028700,Warner Bros. Pictures,0:31,Baywatch (2017) - Big Game Spot - Paramount Pictures
